唯一编号,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,使用天数,本月核算金额,应计费天数,合计费用
DB0299,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.68,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0300,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.67,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0301,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.66,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0302,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.65,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0303,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.13,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0304,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.35,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0305,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.34,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0306,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.33,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0307,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.32,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0308,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.31,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0309,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.30,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0310,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.29,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0311,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.28,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0312,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.27,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0313,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.26,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0314,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.25,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0315,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.24,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0316,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.23,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0317,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.22,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0318,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.21,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0319,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.20,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0320,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.19,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0321,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.18,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0322,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.17,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0323,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.16,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0324,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.15,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0325,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.14,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0326,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.11,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0327,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.10,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0328,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.9,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0329,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.8,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0330,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.7,2025/12/17,,2026/03/17,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0331,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.5,2025/12/19,,2026/03/19,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0332,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.6,2026/01/08,,2026/04/08,2026/04/01,2026/04/30,30,,￥165.90,23,￥127.19
DB0333,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.4,2026/01/08,,2026/04/08,2026/04/01,2026/04/30,30,,￥165.90,23,￥127.19
DB0334,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.3,2026/01/08,,2026/04/08,2026/04/01,2026/04/30,30,,￥165.90,23,￥127.19
DB0335,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.2,2026/01/08,,2026/04/08,2026/04/01,2026/04/30,30,,￥165.90,23,￥127.19
DB0336,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.84,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0337,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.85,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0338,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.86,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0339,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.87,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0340,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.88,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0341,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.89,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0342,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.90,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0343,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.91,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0344,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.92,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0345,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.93,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0346,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.94,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0347,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.95,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0348,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.96,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0349,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.97,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0350,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.98,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0351,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.99,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0352,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.100,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0353,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.101,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0354,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.102,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0355,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.103,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0356,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.104,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0357,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.105,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0358,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.106,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0359,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.107,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0360,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.108,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0361,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.109,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0362,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.110,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0363,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.111,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0364,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.112,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0365,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.113,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0366,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.114,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0367,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.115,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0368,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.116,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0369,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.117,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0370,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.118,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0371,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.119,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0372,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.120,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0373,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.121,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0374,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.122,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0375,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.123,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0376,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.124,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0377,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.125,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0378,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.126,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0379,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.127,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0380,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.128,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0381,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.129,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0382,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.130,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0383,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.131,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0384,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.132,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0385,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.133,2026/02/05,2026/04/22,2026/05/06,2026/04/01,2026/04/21,21,,￥116.13,0,￥0.00
DB0386,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.134,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0387,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.135,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0388,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.136,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0389,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.137,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0390,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.138,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0391,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.139,2026/03/18,,2026/06/16,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0392,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,100.126.102.93,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,￥94.01,0,￥0.00
DB0393,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,100.126.102.94,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,￥94.01,0,￥0.00
DB0394,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.84,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0395,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.74,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0396,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.75,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0397,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.76,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0398,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.77,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0399,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.78,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0400,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.79,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0401,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.80,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0402,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.81,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0403,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.82,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0404,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.83,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0405,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.85,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0406,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.86,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0407,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.93,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0408,2,数据库服务,达梦数据库-企业版,1,套/日,415.74,100.126.102.94,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥7,067.58",0,￥0.00
DB0409,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/12/23,2026/04/14,2026/03/23,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0410,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.76,2025/12/23,,2026/03/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0411,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.77,2025/12/23,,2026/03/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0412,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.78,2025/12/23,,2026/03/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0413,50,安全服务,VPN-10用户,1,套/日,22.77,,2026/03/20,2026/04/14,2026/06/18,2026/04/01,2026/04/13,13,,￥296.01,0,￥0.00
DB0414,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.2,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0415,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.3,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0416,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.4,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0417,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.5,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0418,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.6,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0419,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,170.17.7.7,2025/12/26,,2026/03/26,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0420,5,数据库服务,人大金仓数据库,2,套/日,166.3,170.17.7.17,2026/03/20,,2026/06/18,2026/04/01,2026/04/30,30,,"￥9,978.00",0,￥0.00
DB0421,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,170.17.7.17,2026/03/20,,2026/06/18,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0422,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.11,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0423,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.12,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0424,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.13,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0425,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.14,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0426,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.15,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0427,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.16,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0428,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.8,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0429,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.9,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0430,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.10,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0431,26,操作系统服务,TencentOS,1,套/日,,173.100.112.11 116.142.237.235,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0432,26,操作系统服务,TencentOS,1,套/日,,173.100.112.12,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0433,26,操作系统服务,TencentOS,1,套/日,,173.100.112.13,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0434,26,操作系统服务,TencentOS,1,套/日,,173.100.112.14 116.142.237.234,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0435,26,操作系统服务,TencentOS,1,套/日,,173.100.112.15,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0436,26,操作系统服务,TencentOS,1,套/日,,173.100.112.16,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0437,26,操作系统服务,TencentOS,1,套/日,,173.100.112.8 116.142.237.251,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0438,26,操作系统服务,TencentOS,1,套/日,,173.100.112.9,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0439,26,操作系统服务,TencentOS,1,套/日,,173.100.112.10,2026/02/05,,2026/05/06,2026/04/01,2026/04/30,30,,￥0.00,0,￥0.00
DB0440,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,181.188.10.7,2026/01/30,,2026/04/30,2026/04/01,2026/04/30,30,,￥58.50,1,￥1.95
DB0441,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,181.188.10.8,2026/01/30,,2026/04/30,2026/04/01,2026/04/30,30,,￥58.50,1,￥1.95
DB0442,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,181.188.10.6,2026/01/30,,2026/04/30,2026/04/01,2026/04/30,30,,￥58.50,1,￥1.95
DB0443,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/10/31,2026/04/14,2026/01/29,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0444,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.6,2025/10/31,,2026/01/29,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0445,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.7,2025/10/31,,2026/01/29,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0446,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.8,2025/10/31,,2026/01/29,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
